process_step,control_group_error_rate (%),test_group_error_rate (%)
confirm,0.0,0.0
start,56.941730231776255,54.635321629138836
step_1,0.7923930269413629,0.5883870967741935
step_2,0.3323414615295436,0.34217832009813415
step_3,0.5748891912055119,0.7532447466007417
