age_group,start,step_1,step_2,step_3
30-39,13.86046511627907,5.318574514038877,8.212147134302823,9.38179558869214
40-49,13.7939453125,6.457094307561598,6.721162579473205,9.217786432976306
Under 30,13.84689224862011,5.8774373259052926,9.115122817401598,10.029306414848584
50 and above,13.917620982637608,9.290848621392554,4.849201655824956,13.598508390304536
